0.26477,0.00688,2.17380,26.12953
0.35160,0.01854,2.20163,26.12953
0.26413,0.02804,2.17063,26.12953
0.07469,0.01313,2.13334,21.53742
0.27418,0.05315,2.17054,26.12953
0.25616,0.06766,2.16240,26.12953
0.06948,0.02044,2.13271,21.53742
0.20714,0.06733,2.14668,24.60093
0.28887,0.11517,2.16686,26.12953
0.27290,0.11903,2.16090,26.12953
0.16775,0.08862,2.14306,24.60093
0.30128,0.16345,2.15560,30.31937
0.19127,0.11382,2.13993,24.60093
0.08885,0.05937,2.14070,21.53742
0.19505,0.14860,2.13514,24.60093
0.12830,0.10117,2.14067,24.60093
0.20605,0.18136,2.13075,24.60093
0.09071,0.08643,2.14211,24.60093
0.15617,0.15992,2.13292,24.60093
0.06131,0.07434,2.13534,21.53742
0.13551,0.17764,2.13011,24.60093
0.12498,0.18157,2.12939,24.60093
0.09766,0.15666,2.13242,24.60093
0.16575,0.28903,2.11530,26.11174
0.05353,0.10210,2.13583,21.53742
0.14167,0.28980,2.11795,26.11174
0.13046,0.30538,2.11596,26.11174
0.09700,0.27832,2.11950,23.53020
0.08929,0.28758,2.11865,23.53020
0.08936,0.32395,2.11578,23.53020
0.05498,0.22998,2.12262,23.53020
0.04746,0.26969,2.11937,23.53020
0.02879,0.24211,2.12124,23.53020
0.02042,0.27163,2.11878,23.53020
0.00843,0.26321,2.11924,23.53020
-0.00183,0.09540,2.12190,21.53742
-0.01880,0.32770,2.11372,23.53020
-0.03017,0.31756,2.11433,23.53020
-0.02686,0.23730,2.12071,23.53020
-0.05297,0.28126,2.11921,25.22440
-0.07319,0.35031,2.11723,25.22440
-0.02985,0.11806,2.11707,21.53742
-0.02668,0.08185,2.11475,21.53742
-0.09978,0.27770,2.12750,25.22440
-0.10793,0.26192,2.12748,23.42212
-0.13408,0.27082,2.12858,23.42212
-0.13074,0.25843,2.12759,23.42212
-0.06798,0.11961,2.11517,22.26897
-0.17017,0.25333,2.12784,23.42212
-0.06855,0.09347,2.11294,22.26897
-0.16280,0.21679,2.12495,23.42212
-0.17752,0.21313,2.12491,23.42212
-0.19678,0.20220,2.12431,22.26897
-0.13665,0.12851,2.11704,22.26897
-0.21651,0.19303,2.12384,22.26897
-0.14316,0.11954,2.11638,22.26897
-0.25721,0.18909,2.12417,22.26897
-0.24910,0.17754,2.12305,22.26897
-0.20269,0.13132,2.11835,22.26897
-0.07890,0.04612,2.10907,22.26897
-0.31779,0.15726,2.11753,23.80839
-0.25418,0.11062,2.10758,20.31299
-0.28367,0.11805,2.10534,20.31299
-0.26654,0.08618,2.10009,20.31299
-0.06379,0.02035,2.10662,22.26897
-0.25578,0.06245,2.09592,20.31299
-0.28447,0.05328,2.08984,20.31299
-0.14688,0.02490,2.10180,20.31299
-0.33781,0.03928,2.09223,23.80839
-0.24504,0.02062,2.08744,20.31299
-0.16420,0.00606,2.09497,20.31299
-0.27353,-0.00512,2.07746,20.31299
-0.02852,-0.00200,2.10714,21.53742
-0.12751,-0.01700,2.09448,20.31299
-0.31046,-0.05533,2.06356,18.55795
-0.23491,-0.04905,2.07266,25.08443
-0.27128,-0.06983,2.06281,21.57305
-0.21564,-0.06418,2.07225,25.08443
-0.28404,-0.10199,2.05293,21.57305
-0.31450,-0.12877,2.04562,15.46069
-0.11854,-0.05370,2.08755,25.08443
-0.11279,-0.05939,2.08719,25.08443
-0.20272,-0.10844,2.06495,20.55488
-0.06874,-0.04188,2.09668,25.08443
-0.22525,-0.14997,2.05117,21.57305
-0.14646,-0.11402,2.07169,25.08443
-0.08902,-0.07141,2.08802,25.08443
-0.11441,-0.10407,2.07803,25.08443
-0.19187,-0.18579,2.04810,21.57305
-0.03631,-0.04005,2.10205,23.25747
