0.12124,0.02596,1.00000,2.07788,26.12953,25.96563
0.15858,0.05269,1.00000,2.09312,26.12953,27.67880
0.12176,0.10578,1.00000,2.08134,26.12953,26.00552
0.03553,0.17404,1.00000,2.08534,21.53742,23.23230
0.12797,0.19147,1.00000,2.08822,26.12953,26.23846
0.12192,0.25824,1.00000,2.09405,26.12953,25.97450
0.03395,0.28607,1.00000,2.08973,21.53742,23.25825
0.10111,0.31426,1.00000,2.09890,24.60093,25.23469
0.14254,0.37936,1.00000,2.11407,26.12953,26.60909
0.13692,0.41130,1.00000,2.11749,26.12953,26.36973
0.08830,0.48599,1.00000,2.11714,24.60093,24.82824
0.15769,0.49708,1.00000,2.14084,30.31937,26.92404
0.10364,0.53681,1.00000,2.12791,24.60093,25.24222
0.04988,0.58909,1.00000,2.11214,21.53742,23.80797
0.11434,0.65105,1.00000,2.14939,24.60093,25.45327
0.07618,0.66772,1.00000,2.13297,24.60093,24.49379
0.12812,0.72175,1.00000,2.16820,24.60093,25.72645
0.05843,0.76126,1.00000,2.12994,24.60093,24.05533
0.10442,0.79728,1.00000,2.16590,24.60093,25.11793
0.04510,0.88116,1.00000,2.12585,21.53742,23.72948
0.10451,0.91911,1.00000,2.18221,24.60093,25.05143
0.10315,0.96794,1.00000,2.18708,24.60093,24.99902
0.08636,1.01336,1.00000,2.17700,24.60093,24.64933
0.15623,1.05010,1.00000,2.23151,26.11174,25.89952
0.05392,1.08795,1.00000,2.14681,21.53742,23.93822
0.15114,1.11610,1.00000,2.23471,26.11174,25.74264
0.15567,1.16705,1.00000,2.23960,26.11174,25.76844
0.13818,1.23544,1.00000,2.23702,23.53020,25.44677
0.14119,1.26973,1.00000,2.24004,23.53020,25.47288
0.15752,1.30165,1.00000,2.24460,23.53020,25.69634
0.11094,1.33614,1.00000,2.22578,23.53020,24.97186
0.12849,1.39661,1.00000,2.23987,23.53020,25.22299
0.11444,1.45242,1.00000,2.23334,23.53020,24.98434
0.12786,1.49575,1.00000,2.24211,23.53020,25.17606
0.12363,1.53877,1.00000,2.24086,23.53020,25.09548
0.04494,1.58994,1.00000,2.14777,21.53742,23.60374
0.15406,1.62811,1.00000,2.24504,23.53020,25.50905
0.14974,1.66551,1.00000,2.24550,23.53020,25.43252
