ligand_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
ZINC67007472_shape,186.25502,0.87363,11.88991,6.75290,2.26659,0.66428,0.38586,0.28913,0.15371,0.08190,0.09092,0.08652,0.05433,0.08590,0.02654,0.04084,0.03198
ZINC67007472_esp,109.55661,3591.24715,568.91843,686.95112,375.22471,124.80748,81.21237,43.43452,38.43127,22.92804,17.14753,19.70310,14.87340,16.00635,6.44623,8.10077,6.22340
ZINC67007472_origin_shape,186.25502,0.87363,11.88991,6.75290,2.26659,0.66428,0.38586,0.28913,0.15371,0.08190,0.09092,0.08652,0.05433,0.08590,0.02654,0.04084,0.03198
ZINC67007472_origin_esp,109.55661,3591.24715,568.91843,686.95112,375.22471,124.80748,81.21237,43.43452,38.43127,22.92804,17.14753,19.70310,14.87340,16.00635,6.44623,8.10077,6.22340
